iter	RMSE
0	0.8882951614
1	0.8882630605
2	0.8882299823
3	0.8881971231
4	0.8881612514
5	0.8881279098
6	0.8880927003
7	0.8880607666
8	0.8880265048
9	0.8879917804
10	0.8879556662
11	0.8879217534
12	0.8878898655
13	0.8878550823
14	0.8878221775
15	0.8877894282
16	0.8877564187
17	0.8877218257
18	0.8876891165
19	0.8876569114
20	0.8876231394
21	0.8875875465
22	0.8875545193
23	0.8875226897
24	0.8874917601
25	0.8874603436
26	0.8874288707
27	0.8873962177
28	0.887364391
29	0.8873313591
30	0.8872969124
31	0.8872630053
32	0.8872271062
33	0.8871943549
34	0.8871619123
35	0.8871295614
36	0.8870972056
37	0.8870632373
38	0.8870299601
39	0.8869965578
40	0.886963666
41	0.8869295943
42	0.8868969661
43	0.886863679
44	0.8868306504
45	0.8867987344
46	0.8867641692
47	0.8867297718
48	0.8866981923
49	0.8866658349
50	0.8866359539
51	0.8866047356
52	0.8865741753
53	0.8865426541
54	0.8865106802
55	0.8864769568
56	0.8864438676
57	0.8864096841
58	0.8863800519
59	0.8863465133
60	0.88631648
61	0.886284879
62	0.886252003
63	0.8862213897
64	0.8861910735
65	0.8861575848
66	0.8861249672
67	0.8860929806
68	0.8860615891
69	0.8860298782
70	0.885999471
71	0.8859674686
72	0.8859378351
73	0.885906995
74	0.8858749738
75	0.88584476
76	0.8858140661
77	0.8857855295
78	0.8857560978
79	0.8857258181
80	0.8856944567
81	0.8856642687
82	0.8856319006
83	0.8856005573
84	0.8855698907
85	0.8855373531
86	0.8855066101
87	0.8854755988
88	0.8854461921
89	0.8854149832
90	0.8853826834
91	0.8853537758
92	0.8853236548
93	0.8852909368
94	0.8852590577
95	0.8852268747
96	0.8851954659
97	0.8851635319
98	0.8851342856
99	0.8851027835
100	0.8850710169
101	0.8850422085
102	0.8850090824
103	0.8849779872
104	0.8849462533
105	0.8849140389
106	0.884879713
107	0.8848500642
108	0.8848185676
109	0.8847876101
110	0.8847566001
111	0.8847279863
112	0.8846972218
113	0.8846663146
114	0.8846364659
115	0.8846059934
116	0.8845750097
117	0.884543419
118	0.8845108586
119	0.8844790477
120	0.884449406
121	0.8844178544
122	0.8843872487
123	0.8843567214
124	0.884325657
125	0.8842946212
126	0.884266001
127	0.8842331125
128	0.8842048031
129	0.8841743679
130	0.8841450687
131	0.8841151417
132	0.8840823581
133	0.8840509047
134	0.884019876
135	0.8839905862
136	0.8839619247
137	0.8839331377
138	0.8839016806
139	0.8838716639
140	0.8838409674
141	0.8838105499
142	0.8837833275
143	0.8837529693
144	0.8837211738
145	0.8836907079
146	0.8836626484
147	0.8836334332
148	0.8836045037
149	0.8835758925
150	0.8835475458
151	0.8835156434
152	0.8834877491
153	0.8834607724
154	0.8834329758
155	0.8834021378
156	0.8833727361
157	0.8833452
158	0.8833129597
159	0.8832825817
160	0.8832553334
161	0.8832259156
162	0.8831938105
163	0.8831627627
164	0.8831349907
165	0.8831056571
166	0.8830761052
167	0.8830461378
168	0.8830186863
169	0.8829910553
170	0.8829625338
171	0.8829333327
172	0.8829059963
173	0.8828761521
174	0.8828487158
175	0.8828206194
176	0.8827924805
177	0.8827625032
178	0.8827337851
179	0.8827053001
180	0.8826775716
181	0.8826467752
182	0.8826188669
183	0.8825887405
184	0.8825605906
185	0.8825326258
186	0.8825009654
187	0.8824727171
188	0.8824429946
189	0.8824137336
190	0.882383644
191	0.8823558438
