iter	Passed	Remaining
0	959	6363371
1	2123	7039846
2	3210	7096228
3	4143	6866370
4	5124	6793180
5	6054	6687644
6	7025	6650235
7	7938	6574395
8	8875	6532528
9	9821	6504947
10	10759	6477349
11	11700	6455904
12	12617	6425235
13	13589	6424889
14	14518	6405394
15	15471	6398296
16	16536	6435677
17	17471	6420848
18	18393	6402789
19	19304	6383018
20	20214	6364820
21	21154	6356790
22	22065	6341319
23	22970	6325556
24	23862	6307358
25	24803	6302942
26	25704	6288954
27	26614	6278143
28	27505	6263607
29	28446	6261000
30	29371	6255164
31	30292	6248869
32	31219	6243877
33	32202	6250101
34	33191	6257022
35	34104	6249640
36	35042	6247088
37	35957	6240505
38	36874	6234607
39	37811	6232356
40	38731	6227247
41	39673	6225950
42	40622	6225604
43	41535	6219879
44	42452	6215045
45	43379	6211745
46	44305	6208441
47	45223	6204145
48	46165	6203111
49	47055	6195368
50	47956	6189269
51	48889	6187308
52	49801	6182958
53	50717	6179113
54	51638	6175910
55	52562	6173281
56	53515	6173954
57	54470	6174905
58	55375	6170091
59	56307	6168469
60	57223	6165150
61	58112	6158995
62	59076	6160819
63	60026	6161187
64	60937	6157492
65	61862	6155311
66	62813	6155686
67	63729	6152679
68	64625	6147863
69	65554	6146189
70	66431	6139791
71	67344	6136804
72	68250	6133184
73	69147	6128855
74	70075	6127366
75	70979	6123860
76	71892	6121116
77	72783	6116609
78	73685	6113057
79	74571	6108358
80	75471	6104800
81	76382	6102188
82	77291	6099544
83	78197	6096608
84	79100	6093507
85	80025	6092192
86	80911	6087861
87	81822	6085530
88	82743	6083977
89	83659	6082041
90	84602	6082069
91	85522	6080453
92	86427	6077831
93	87358	6076978
94	88260	6074176
95	89204	6074271
96	90113	6071957
97	91059	6072189
98	91953	6068952
99	92868	6067127
100	93791	6065803
101	94668	6061576
102	95618	6062021
103	96506	6058583
104	97412	6056285
105	98345	6055698
106	99283	6055345
107	100175	6052243
108	101173	6055537
109	102095	6054245
110	102993	6051561
111	103892	6048950
112	104795	6046596
113	105720	6045543
114	106671	6045970
115	107570	6043448
116	108486	6041886
117	109399	6040142
118	110309	6038308
119	111214	6036158
120	112119	6034093
121	113026	6032079
122	113939	6030477
123	114893	6031001
124	115776	6027805
125	116681	6025755
126	117592	6024092
127	118495	6021985
128	119403	6020134
129	120336	6019588
130	121243	6017767
131	122147	6015779
132	123102	6016307
133	124002	6014114
134	124908	6012263
135	125808	6010131
136	126712	6008186
137	127609	6005964
138	128528	6004775
139	129397	6001271
140	130320	6000266
141	131223	5998412
142	132094	5995064
143	133006	5993592
144	133922	5992344
145	134823	5990431
146	135709	5987855
147	136614	5986126
148	137495	5983362
149	138407	5981955
150	139288	5979261
151	140186	5977301
152	141063	5974459
153	141967	5972790
154	142854	5970413
155	143769	5969188
156	144655	5966792
157	145561	5965252
158	146475	5964022
159	147399	5963220
160	148284	5960853
161	149211	5960186
162	150143	5959701
163	151063	5958704
164	151969	5957205
165	152893	5956417
166	153793	5954660
167	154713	5953722
168	155634	5952799
169	156527	5950815
170	157429	5949164
171	158341	5947944
172	159220	5945462
173	160128	5944067
174	161021	5942155
175	161906	5939956
176	162807	5938335
177	163681	5935743
