iter	RMSE
0	13.34148905
1	12.09788602
2	11.89985843
3	11.74665653
4	11.55638104
5	11.28760042
6	11.09545748
7	10.89623176
8	10.75083691
9	10.55643948
10	10.49220223
11	10.40768908
12	10.35380664
13	10.32242578
14	10.22407692
15	10.10889505
16	10.03627931
17	9.996429199
18	9.963024777
19	9.911041096
20	9.88247987
21	9.84983043
22	9.821151614
23	9.797440445
24	9.768635028
25	9.753742738
26	9.736528834
27	9.724070766
28	9.710416168
29	9.698219969
30	9.681656296
31	9.67231258
32	9.662406763
33	9.650588345
34	9.643180866
35	9.637377986
36	9.627450659
37	9.620334539
38	9.613750465
39	9.605634259
40	9.600026435
41	9.593325081
42	9.589553458
43	9.583757529
44	9.578604085
45	9.574610703
46	9.571012627
47	9.565646446
48	9.561324919
49	9.557845184
50	9.554050871
51	9.550176626
52	9.546260093
53	9.541824718
54	9.537635736
55	9.534159409
56	9.530893127
57	9.528583113
58	9.525134635
59	9.521990161
60	9.518519893
61	9.51572326
62	9.512407919
63	9.509857246
64	9.507602671
65	9.504531552
66	9.500529647
67	9.498470476
68	9.494654578
69	9.491629527
70	9.489138922
71	9.485831602
72	9.483610561
73	9.480912203
74	9.478924397
75	9.476768041
76	9.474633397
77	9.47297454
78	9.470331838
79	9.468762446
80	9.4668834
81	9.463704482
82	9.462121204
83	9.459796741
84	9.458841434
85	9.456786377
86	9.453662646
87	9.451592365
88	9.44958464
89	9.447594312
90	9.444491722
91	9.442235391
92	9.440304579
93	9.437910637
94	9.435291707
95	9.433621976
96	9.431136264
97	9.429332674
98	9.427534262
99	9.425715797
100	9.423921254
101	9.422468571
102	9.420902279
103	9.418880756
104	9.417466633
105	9.415555179
106	9.413756278
107	9.412258977
108	9.410927686
109	9.409042252
110	9.407710598
111	9.405989322
112	9.40398676
113	9.402268268
114	9.400820094
115	9.398992821
116	9.397749938
117	9.396619209
118	9.394994359
119	9.393833266
120	9.392472388
121	9.391524874
122	9.390503608
123	9.389201762
124	9.387594009
125	9.385980876
126	9.383765324
127	9.382172377
128	9.380931212
129	9.379801305
130	9.378268877
131	9.376497388
132	9.374748305
133	9.37378491
134	9.372202132
135	9.370897018
136	9.369420556
137	9.368158868
138	9.366894398
139	9.36591799
140	9.364454567
141	9.363166014
142	9.362087322
143	9.360782199
144	9.359655916
145	9.358200253
146	9.35693975
147	9.355345431
148	9.353787081
149	9.352401639
150	9.351004832
151	9.349945365
152	9.348812967
153	9.347365895
154	9.346006991
155	9.344715581
156	9.343717575
157	9.342962033
158	9.341642552
159	9.340236978
160	9.339250321
161	9.338100184
162	9.33710779
163	9.335975623
164	9.334777629
165	9.333983943
166	9.33291178
167	9.331773836
168	9.330661105
169	9.329533676
170	9.328404237
171	9.327687792
172	9.326405407
173	9.325285708
174	9.324362926
175	9.32341858
176	9.322295796
177	9.321183147
178	9.32002893
179	9.319210765
180	9.318147888
181	9.317265209
182	9.316475057
183	9.315757554
184	9.314794769
185	9.31386391
186	9.313021339
187	9.312130182
188	9.310879741
189	9.309763235
190	9.309061408
191	9.308356903
192	9.307749363
193	9.30710784
194	9.306202829
195	9.305528738
196	9.304797838
197	9.304025139
198	9.303101348
199	9.302480201
200	9.301556004
201	9.300408126
202	9.29985542
203	9.299021231
204	9.2983807
205	9.297588017
206	9.296865098
207	9.295527527
208	9.294706202
209	9.293985074
210	9.293296092
211	9.292584244
212	9.2916799
213	9.290932072
214	9.290271388
215	9.289532633
216	9.288616221
217	9.287979056
218	9.287377683
219	9.286716804
220	9.286015783
221	9.2854177
222	9.284859797
223	9.284349586
224	9.283755756
225	9.282972117
226	9.282389139
227	9.281670127
228	9.281037481
229	9.280600047
230	9.279778212
231	9.278997842
232	9.278408025
233	9.277720376
234	9.27703002
235	9.276353327
236	9.275450544
237	9.274754021
238	9.273658906
239	9.272840712
240	9.272207714
241	9.271560875
242	9.271036856
243	9.27027674
244	9.269644285
245	9.269189875
246	9.268625255
247	9.267955248
248	9.267424321
249	9.266507278
250	9.265754596
251	9.264919447
252	9.26409589
253	9.263504553
254	9.26249401
255	9.261911218
256	9.261255322
257	9.260712334
258	9.260201448
259	9.259633916
260	9.259181847
261	9.258525333
262	9.258001047
263	9.257398893
264	9.256681803
265	9.256141064
266	9.255622253
267	9.255028105
268	9.254571513
269	9.254087674
270	9.253447349
271	9.252833758
272	9.252174755
273	9.251784949
274	9.251252773
275	9.250726878
276	9.250110878
277	9.249718523
278	9.249104879
279	9.248159543
280	9.24755508
281	9.246577054
282	9.246088415
283	9.245546999
284	9.244924166
285	9.244157958
286	9.243759754
287	9.243011728
288	9.242477441
289	9.24202216
290	9.2415571
291	9.241071854
292	9.240514589
293	9.240039333
294	9.239497232
295	9.238979536
296	9.238286749
297	9.237808195
298	9.23728741
299	9.236737435
300	9.236207198
301	9.235618198
302	9.23506464
303	9.234603172
304	9.234097115
305	9.233502308
306	9.232901112
307	9.232597843
308	9.231948152
309	9.231448648
310	9.230952751
311	9.230209319
312	9.229650656
313	9.229132448
314	9.228626869
315	9.228056641
316	9.227664157
317	9.227110131
318	9.226554469
319	9.226119409
320	9.225669593
321	9.224988643
322	9.224498522
323	9.224051481
324	9.223665804
325	9.222960555
326	9.222415542
327	9.221978078
328	9.221520762
329	9.221091967
330	9.220564218
331	9.220181239
332	9.219706412
333	9.219325822
334	9.218777218
335	9.218267347
336	9.217906252
337	9.217471277
338	9.216984828
339	9.216318436
340	9.215890439
341	9.215542698
342	9.215115145
343	9.214575541
344	9.214292215
345	9.213863804
346	9.213412968
347	9.213035311
348	9.212521543
349	9.212116315
350	9.21168159
351	9.211197369
352	9.21064526
353	9.210256128
354	9.209960779
355	9.209424429
356	9.2089535
357	9.208528743
358	9.208046571
359	9.207585218
360	9.207221887
361	9.206802917
362	9.206544362
363	9.20617167
364	9.205765967
365	9.204974842
366	9.204642772
367	9.204224676
368	9.203570846
369	9.202920055
370	9.202575651
371	9.202220121
372	9.201872802
373	9.201518465
374	9.201162856
375	9.200811637
376	9.200323466
377	9.199944482
378	9.199406764
379	9.199081355
380	9.198689446
381	9.19835406
382	9.198005143
383	9.197462551
384	9.197036929
385	9.196643441
386	9.196258887
387	9.195883071
388	9.195455778
389	9.195114165
390	9.194688209
391	9.194396255
392	9.194054162
393	9.193715575
394	9.193231108
395	9.192954297
396	9.192628675
397	9.192213872
398	9.191856412
399	9.191468499
400	9.191061892
401	9.190550874
402	9.190242044
403	9.189804169
404	9.189424975
405	9.188927717
406	9.188559393
407	9.188293439
408	9.187883923
409	9.187538283
410	9.187147751
411	9.18673022
412	9.186412227
413	9.186029525
414	9.185728123
415	9.185375631
416	9.185022754
417	9.184633664
418	9.184437582
419	9.184087914
420	9.183750142
421	9.183444972
422	9.183089661
423	9.182756317
424	9.182474421
425	9.182193109
426	9.18189527
427	9.181644729
428	9.181384032
429	9.181088044
430	9.180846816
431	9.180539684
432	9.180283489
433	9.180021081
434	9.179768371
435	9.179360604
436	9.178803487
437	9.178479386
438	9.178121914
439	9.177863494
440	9.177620454
441	9.177346666
442	9.177071784
443	9.176763282
444	9.176570678
445	9.176272341
446	9.175910792
447	9.175592883
448	9.175341232
449	9.175089276
450	9.174784378
451	9.174494431
452	9.174167628
453	9.173925439
454	9.173429707
455	9.173169695
456	9.172736394
457	9.172489876
458	9.172086007
459	9.171831942
460	9.171620151
461	9.171123323
462	9.170857979
463	9.170501742
464	9.170202101
465	9.169986946
466	9.169498822
467	9.169163176
468	9.168883769
469	9.168572567
470	9.168287495
471	9.1680203
472	9.167655853
473	9.167241471
474	9.167036151
475	9.166766641
476	9.166451632
477	9.166177724
478	9.165858666
479	9.165556914
480	9.165292513
481	9.165104998
482	9.164833681
483	9.164509679
484	9.164131474
485	9.163838623
486	9.163531494
487	9.163304923
488	9.163044559
489	9.162789954
490	9.162578237
491	9.162403966
492	9.162135614
493	9.161930476
494	9.161517485
495	9.161313916
496	9.161061817
497	9.160832918
498	9.160618788
499	9.160338777
500	9.160133724
501	9.159902171
502	9.159683075
503	9.159443625
504	9.15922244
505	9.15898194
506	9.158713692
507	9.158460859
508	9.158251707
509	9.15806372
510	9.157925858
511	9.157642884
512	9.157473131
513	9.157321712
514	9.157059363
515	9.156827047
516	9.156595042
517	9.15620266
518	9.155878502
519	9.15569459
520	9.155462386
521	9.155217246
522	9.155029597
523	9.154801049
524	9.154590287
525	9.154385641
526	9.154182304
527	9.153915249
528	9.153782053
529	9.15366623
530	9.153472458
531	9.153275333
532	9.153011162
533	9.15257939
534	9.152376592
535	9.152202553
536	9.15202489
537	9.151790506
538	9.151515666
539	9.151336602
540	9.151055026
541	9.150892878
542	9.150568852
543	9.150367746
544	9.150051247
545	9.149775926
546	9.149556746
547	9.149346344
548	9.14913666
549	9.148903336
550	9.148665004
551	9.148461108
552	9.148154101
553	9.147894863
554	9.147694206
555	9.147500746
556	9.14732351
557	9.147059876
558	9.146918865
559	9.146598226
560	9.146341079
561	9.14617406
562	9.145946361
563	9.145769664
564	9.145574605
565	9.14530786
566	9.144946375
567	9.144715092
568	9.14452834
569	9.144271182
570	9.143997436
571	9.143840889
572	9.143633379
573	9.143392256
574	9.143235582
575	9.143080136
576	9.142906997
577	9.14264446
578	9.142437271
579	9.142178899
580	9.141937848
581	9.141691506
582	9.141449172
583	9.141242066
584	9.1409752
585	9.140786508
586	9.140506686
587	9.14032601
588	9.14011869
589	9.139848226
590	9.139641478
591	9.13947461
592	9.139211801
593	9.138981121
594	9.138720185
595	9.138599045
596	9.138410318
597	9.138199592
598	9.137909255
599	9.137683853
600	9.137517565
601	9.137355271
602	9.137198521
603	9.137013449
604	9.136839096
605	9.136687291
606	9.136530894
607	9.136220036
608	9.136062874
609	9.13586391
610	9.135530371
611	9.13537746
612	9.135187784
613	9.135014214
614	9.134771369
615	9.13451058
616	9.134246825
617	9.134012811
618	9.133845746
619	9.133666269
620	9.133440202
621	9.133324765
622	9.13308108
623	9.132887356
624	9.132706043
625	9.132456899
626	9.132338345
627	9.132188896
628	9.131985516
629	9.131716105
630	9.131521852
631	9.131324256
632	9.1311049
633	9.130949364
634	9.130758575
635	9.130628681
636	9.130466237
637	9.130226898
638	9.130089524
639	9.129928106
640	9.129739448
641	9.12956758
642	9.129458088
643	9.129295261
644	9.129161408
645	9.129006519
646	9.128766849
647	9.128589062
648	9.128420804
649	9.128246737
650	9.128117802
651	9.127873984
652	9.127655697
653	9.127455967
654	9.127194499
655	9.127064503
656	9.126913555
657	9.126803555
658	9.126648185
659	9.126405334
660	9.126257446
661	9.126163279
662	9.126014605
663	9.125852528
664	9.125744252
665	9.12556998
666	9.125425135
667	9.12525418
668	9.125081657
669	9.124808352
670	9.124656369
671	9.124417523
672	9.12425999
673	9.124083909
674	9.123920436
675	9.123690566
676	9.123548775
677	9.123421072
678	9.123266984
679	9.123056511
680	9.122875705
681	9.122553992
682	9.122434391
683	9.12225869
684	9.122093272
685	9.121942377
686	9.12181413
687	9.12172107
688	9.121608368
689	9.121413182
690	9.121259127
691	9.121151103
692	9.121039779
693	9.120843159
694	9.120653688
695	9.120467154
696	9.120264958
697	9.120084101
698	9.119916636
699	9.119801043
700	9.119706748
701	9.119547251
702	9.119446474
703	9.11928459
704	9.119143689
705	9.118996365
706	9.118835529
707	9.118723449
708	9.118613201
709	9.118450169
710	9.118224341
711	9.118077238
712	9.11791851
713	9.117682724
714	9.117516407
715	9.117378705
716	9.117208982
717	9.117081421
718	9.116892451
719	9.116612085
720	9.116486168
721	9.116336434
722	9.116177862
723	9.11602703
724	9.115875951
725	9.115736013
726	9.115660162
727	9.115504738
728	9.115373052
729	9.11525764
730	9.115134728
731	9.114989971
732	9.114831391
733	9.114678042
734	9.114545122
735	9.114332405
736	9.114214062
737	9.114029443
738	9.113872898
739	9.113783718
740	9.113676808
741	9.113541376
742	9.113401247
743	9.113239598
744	9.113113763
745	9.112908883
746	9.112749546
747	9.112617356
748	9.112480927
749	9.112377668
750	9.112300303
751	9.112173996
752	9.112028546
753	9.111887822
754	9.111731057
755	9.111557506
756	9.111401576
757	9.111269864
758	9.111149851
759	9.11096616
760	9.110817527
761	9.110718377
762	9.110551815
763	9.110373294
764	9.110260122
765	9.11015187
766	9.110008714
767	9.109928027
768	9.109677857
769	9.109571881
770	9.109473468
771	9.109329709
772	9.109112242
773	9.10891497
774	9.108756887
775	9.108642468
776	9.108556701
777	9.108396833
778	9.108253444
779	9.108142043
780	9.107980082
781	9.107861255
782	9.107762587
783	9.107620418
784	9.10750806
785	9.107406172
786	9.107296336
787	9.10711193
788	9.107007819
789	9.106886178
790	9.106719954
791	9.106558705
792	9.106415162
793	9.106335729
794	9.106214293
795	9.10610423
796	9.105985925
797	9.10589641
798	9.10579845
799	9.105704406
800	9.105578668
801	9.105474393
802	9.105335099
803	9.10525739
804	9.10515288
805	9.105025297
806	9.104934582
807	9.104803688
808	9.104730305
809	9.104558128
810	9.104426072
811	9.10428758
812	9.104141291
813	9.1040642
814	9.103964378
815	9.103847048
816	9.10372533
817	9.103565966
818	9.103428815
819	9.103306869
820	9.103176675
821	9.103057585
822	9.102929808
823	9.102797237
824	9.102643693
825	9.102534986
826	9.102401519
827	9.102302842
828	9.102182456
829	9.102064788
830	9.101969874
831	9.101877913
832	9.101773075
833	9.101662074
834	9.101481286
835	9.101386895
836	9.101284094
837	9.101167178
838	9.101093269
839	9.100972189
840	9.100890954
841	9.100767814
842	9.100669366
843	9.100547829
844	9.100474039
845	9.100312465
846	9.100228591
847	9.100109038
848	9.09997113
849	9.099857952
850	9.099737527
851	9.099619972
852	9.099535505
853	9.099426222
854	9.099322126
855	9.099222166
856	9.09910059
857	9.099024815
858	9.098932958
859	9.098816249
860	9.098721684
