iter	Passed	Remaining
0	47	83549
1	73	64051
2	95	55837
3	118	51859
4	141	49510
5	165	48088
6	190	47509
7	213	46677
8	247	47867
9	270	47102
10	292	46292
11	315	45742
12	338	45313
13	364	45316
14	392	45506
15	415	45063
16	440	44985
17	476	45908
18	512	46736
19	547	47456
20	583	48164
21	606	47721
22	635	47831
23	672	48431
24	698	48251
25	729	48488
26	761	48664
27	784	48330
28	815	48464
29	839	48210
30	860	47815
31	881	47399
32	902	47016
33	929	47018
34	951	46714
35	972	46360
36	993	46054
37	1014	45794
38	1035	45507
39	1055	45219
40	1084	45292
41	1110	45232
42	1144	45510
43	1178	45773
44	1206	45784
45	1241	46072
46	1271	46149
47	1294	45975
48	1324	46067
49	1346	45847
50	1368	45674
51	1389	45453
52	1423	45650
53	1446	45520
54	1467	45310
55	1487	45088
56	1508	44892
57	1538	44967
58	1565	44961
59	1605	45293
60	1628	45161
61	1657	45219
62	1683	45154
63	1719	45386
64	1750	45453
65	1773	45323
66	1803	45394
67	1824	45219
68	1844	45024
69	1865	44846
70	1885	44672
71	1906	44511
72	1927	44359
73	1953	44327
74	1977	44239
75	2007	44299
76	2034	44288
77	2058	44215
78	2085	44190
79	2107	44068
80	2132	44018
81	2156	43944
82	2180	43870
83	2205	43818
84	2228	43733
85	2252	43663
86	2279	43649
87	2301	43545
88	2323	43439
89	2345	43335
90	2366	43225
91	2394	43228
92	2423	43261
93	2455	43331
94	2478	43250
95	2509	43316
96	2541	43383
97	2568	43376
98	2595	43368
99	2620	43318
100	2643	43233
101	2664	43126
102	2687	43045
103	2707	42924
104	2736	42955
105	2763	42943
106	2794	42995
107	2817	42920
108	2841	42861
109	2869	42865
110	2904	42970
111	2930	42941
112	2959	42958
113	2983	42896
114	3007	42837
115	3034	42822
116	3059	42785
117	3084	42733
118	3111	42731
119	3133	42646
120	3155	42561
121	3177	42484
122	3200	42411
123	3221	42319
124	3241	42218
125	3268	42206
126	3291	42141
127	3312	42055
128	3333	41963
129	3353	41864
130	3373	41772
131	3394	41691
132	3417	41624
133	3440	41566
134	3464	41525
135	3485	41444
136	3507	41373
137	3536	41382
138	3558	41324
139	3583	41286
140	3616	41347
141	3646	41369
142	3668	41301
143	3689	41223
144	3716	41211
145	3740	41174
146	3767	41160
147	3791	41118
148	3814	41066
149	3840	41044
150	3866	41021
151	3894	41023
152	3922	41019
153	3946	40974
154	3971	40947
155	3996	40911
156	4019	40857
157	4046	40849
158	4069	40798
159	4093	40760
160	4119	40730
161	4143	40698
162	4166	40638
163	4191	40611
164	4213	40553
165	4239	40534
166	4262	40477
167	4283	40417
168	4305	40354
169	4326	40289
170	4347	40222
171	4368	40153
172	4393	40122
173	4415	40073
174	4442	40063
175	4463	39995
176	4484	39926
177	4511	39922
178	4536	39888
179	4558	39835
180	4582	39797
181	4608	39779
182	4630	39723
183	4652	39673
184	4676	39632
185	4707	39659
186	4733	39644
187	4762	39647
188	4789	39630
189	4814	39607
190	4839	39575
191	4859	39510
192	4879	39443
193	4899	39374
194	4920	39311
195	4940	39246
196	4960	39176
197	4980	39116
198	5003	39074
199	5024	39018
200	5050	38994
201	5070	38933
202	5091	38873
203	5111	38810
204	5131	38752
205	5158	38736
206	5181	38695
207	5202	38639
208	5225	38605
209	5252	38595
210	5274	38548
211	5300	38525
212	5320	38468
213	5341	38412
214	5362	38357
215	5387	38335
216	5407	38278
217	5434	38266
218	5454	38208
219	5474	38144
220	5494	38087
221	5514	38032
222	5535	37977
223	5555	37919
224	5582	37911
225	5604	37867
226	5626	37826
227	5648	37777
228	5671	37747
229	5706	37789
230	5728	37741
231	5748	37686
232	5768	37633
233	5789	37581
234	5809	37524
235	5835	37512
236	5857	37470
237	5879	37424
238	5907	37425
239	5930	37388
240	5953	37350
241	5983	37360
242	6006	37325
243	6031	37302
244	6058	37291
245	6081	37253
246	6105	37224
247	6131	37209
248	6158	37196
249	6194	37240
250	6230	37284
251	6265	37322
252	6302	37366
253	6324	37325
254	6355	37334
255	6384	37335
256	6406	37290
257	6427	37244
258	6454	37230
259	6476	37192
260	6498	37148
261	6520	37108
262	6542	37066
263	6564	37025
264	6587	36989
265	6612	36965
266	6634	36926
267	6656	36884
268	6679	36848
269	6701	36810
270	6724	36774
271	6748	36742
272	6776	36737
273	6799	36699
274	6821	36661
275	6843	36622
276	6865	36580
277	6887	36544
278	6913	36527
279	6936	36488
280	6957	36444
281	6978	36400
282	7000	36365
283	7021	36316
284	7048	36306
285	7074	36287
286	7099	36262
287	7120	36220
